Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.934,-0.036,-0.24%,72237251.00,United States,1993,6396,Finance,Finance/Investors Services
VFL,Delaware Investments National Municipal Income Fund Common Stock,$14.14,0.04,0.284%,64032184.00,United States,1993,1514,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$1.23,-0.01,-0.806%,128103175.00,United States,,147561,Basic Industries,Precious Metals
VHAQ,Viveon Health Acquisition Corp. Common Stock,$9.93,-0.02,-0.201%,249801563.00,,2021,638,,
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$12.38,0.00,0.00%,549567401.00,United States,,55150,Finance,Finance Companies
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$14.18,0.00,0.00%,163140546.00,United States,1993,3710,Finance,Finance/Investors Services
VNRX,VolitionRX Limited Common Stock,$3.20,0.00,0.00%,169256682.00,Singapore,2015,87344,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VOLT,Volt Information Sciences Inc. Common Stock,$4.88,0.30,6.55%,106074486.00,United States,,390154,Consumer Services,Movies/Entertainment
WLMS,Williams Industrial Services Group Inc. Common Stock,$5.97,0.11,1.877%,154599126.00,,2021,128285,Capital Goods,Metal Fabrications
WRN,Western Copper and Gold Corporation Common Stock,$2.12,0.13,6.533%,312924985.00,Canada,2011,685285,Basic Industries,Precious Metals
WTT,Wireless Telecom Group  Inc. Common Stock,$2.97,-0.69,-18.852%,64331144.00,United States,,1270180,Capital Goods,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$4.75,-0.15,-3.061%,153597496.00,United States,,733336,Basic Industries,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$7.05,-0.24,-3.292%,63953032.00,United States,,147855,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.6614,0.0114,1.754%,38645017.00,United States,,257567,,
XTNT,Xtant Medical Holdings Inc. Common Stock,$1.66,-0.12,-6.742%,143934095.00,United States,,199642,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
XXII,22nd Century Group Inc. Common Stock,$3.96,-0.25,-5.938%,643763776.00,United States,,3342949,Consumer Non-Durables,Farming/Seeds/Milling
YCBD,cbdMD Inc. Common Stock,$2.91,-0.07,-2.349%,165775614.00,United States,2017,91639,Consumer Non-Durables,Package Goods/Cosmetics
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$7.42,-0.045,-0.603%,,United States,,42684,,
ZDGE,Zedge Inc. Class B Common Stock ,$17.45,-0.62,-3.431%,247555140.00,,2016,234226,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$0.78,-0.0309,-3.811%,762694791.00,United States,2017,33044909,,
